week,pctile_95
1,36.03855628967285
2,28.35186767578125
3,34.48613758087156
4,35.160119628906244
5,41.2155460357666
6,42.91906299591064
7,40.35708732604981
8,35.13482322692871
9,43.7328405380249
10,55.629536437988264
11,51.963145637512206
12,48.64410858154295
13,48.45940856933592
14,42.525428390502924
15,48.989934921264634
16,47.94815864562989
17,59.693392562866215
18,53.26485347747803
19,67.04015121459962
20,66.2925880432129
21,63.51103172302246
22,57.59551124572754
23,66.97727813720704
24,75.7531303405762
25,80.30134506225586
26,90.69736862182619
27,75.26012268066407
28,95.59054870605469
29,82.06852722167967
30,81.8968620300293
31,81.7047821044922
32,81.58447265625001
33,65.29224243164063
34,67.29769515991212
35,64.21281738281252
36,69.20558013916019
37,59.376176834106474
38,50.01441955566406
39,40.38814010620118
40,48.369334793090815
41,43.82190437316895
42,37.03949813842773
43,50.04811096191406
44,47.38101158142093
45,37.50416679382325
46,29.76080322265625
47,36.063685607910124
48,34.42437210083008
49,32.008924865722626
50,33.579549407958986
51,31.927024841308594
52,34.5278169631958
53,31.089004516601562
