week,monthName,fwi
1,Jan,36.04
2,Jan,28.35
3,Jan,34.49
4,Jan,35.16
5,Feb,41.22
6,Feb,42.92
7,Feb,40.36
8,Feb,35.13
9,Feb,43.73
10,Mar,55.63
11,Mar,51.96
12,Mar,48.64
13,Mar,48.46
14,Apr,42.53
15,Apr,48.99
16,Apr,47.95
17,Apr,59.69
18,May,53.26
19,May,67.04
20,May,66.29
21,May,63.51
22,May,57.6
23,Jun,66.98
24,Jun,75.75
25,Jun,80.3
26,Jun,90.7
27,Jul,75.26
28,Jul,95.59
29,Jul,82.07
30,Jul,81.9
31,Aug,81.7
32,Aug,81.58
33,Aug,65.29
34,Aug,67.3
35,Aug,64.21
36,Sep,69.21
37,Sep,59.38
38,Sep,50.01
39,Sep,40.39
40,Oct,48.37
41,Oct,43.82
42,Oct,37.04
43,Oct,50.05
44,Nov,47.38
45,Nov,37.5
46,Nov,29.76
47,Nov,36.06
48,Nov,34.42
49,Dec,32.01
50,Dec,33.58
51,Dec,31.93
52,Dec,34.53
53,Dec,31.09
