lcType,pixelCount,pixelTotal,percentage
Tree cover,385035.090196078,6068006.37255,63.45
Built up,3438092.2117647,6068006.37255,56.66
Grassland,1022591.69411765,6068006.37255,16.85
Permanent water bodies,563266.486274511,6068006.37255,9.28
Cropland,346731.71372549,6068006.37255,5.71
Bare sparse vegetation,168537.729411765,6068006.37255,2.78
Shrubland,15153.5294117647,6068006.37255,2.49
Herbaceous wetland,128597.917647059,6068006.37255,2.12
Snow and ice,0.0,6068006.37255,0.0
Mangroves,0.0,6068006.37255,0.0
Moss and lichens,0.0,6068006.37255,0.0
