Group,Age_Bracket,Percentage,order,cumpct
Tunis,0-4,0.07578810311246643,1,0.07578810311246643
Tunis,5-9,0.08091315871172076,1,0.1567012618241872
Tunis,10-14,0.06610744665675809,1,0.2228087084809453
Tunis,15-19,0.056095204733425004,1,0.2789039132143703
Tunis,20-24,0.0651823747515538,1,0.3440862879659241
Tunis,25-29,0.07724313322507005,1,0.42132942119099415
Tunis,30-34,0.08599096681228885,1,0.507320388003283
Tunis,35-39,0.08665610330282118,1,0.5939764913061042
Tunis,40-44,0.07845836559316394,1,0.6724348568992681
Tunis,45-49,0.062370740634284834,1,0.734805597533553
Tunis,50-54,0.06593540494058414,1,0.800741002474137
Tunis,55-59,0.05906475082040052,1,0.8598057532945376
Tunis,60-64,0.051010869505879866,1,0.9108166228004175
Tunis,65-69,0.03608124587900938,1,0.9468978686794268
Tunis,70-74,0.022012906325521824,1,0.9689107750049487
Tunis,75-79,0.014233813348140811,1,0.9831445883530895
Tunis,80+,0.016855411646910436,1,0.9999999999999999
Benchmark,0-4,0.08293375343121655,2,1.0829337534312165
Benchmark,5-9,0.09070599475856556,2,1.173639748189782
Benchmark,10-14,0.08105611079560313,2,1.2546958589853852
Benchmark,15-19,0.07227398472472608,2,1.3269698437101112
Benchmark,20-24,0.07506686330175462,2,1.4020367070118658
Benchmark,25-29,0.0798932381572009,2,1.4819299451690668
Benchmark,30-34,0.07739536897368687,2,1.5593253141427537
Benchmark,35-39,0.08075148426307775,2,1.6400767984058313
Benchmark,40-44,0.07461753208560344,2,1.7146943304914348
Benchmark,45-49,0.05690679768228284,2,1.7716011281737176
Benchmark,50-54,0.055237121534044926,2,1.8268382497077627
Benchmark,55-59,0.04592180040135694,2,1.8727600501091195
Benchmark,60-64,0.04302948503342761,2,1.9157895351425471
Benchmark,65-69,0.02745320574779503,2,1.943242740890342
Benchmark,70-74,0.017051035028066954,2,1.9602937759184091
Benchmark,75-79,0.01244813591657275,2,1.9727419118349818
Benchmark,80+,0.011375181199567624,2,1.9841170930345495
